Expert 0 Optimized Training - 2026-03-23 20:36:19
Architecture: 17→64→32→6 (BatchNorm + dropout=0.1)
Batch size: 128
Initial LR: 1e-4 (cosine annealing)
Optimizer: Adam (betas=0.9,0.9999)
Weight decay: 1e-5
Max epochs: 100, Early stop patience: 15
Training samples: 265,715
====================================================================================================

Epoch  1/100 | Train Loss: 1.083982 | Val Loss: 0.247353 | LR: 9.99e-05
Epoch  2/100 | Train Loss: 0.374873 | Val Loss: 0.144667 | LR: 9.96e-05
Epoch  3/100 | Train Loss: 0.328929 | Val Loss: 0.132573 | LR: 9.91e-05
Epoch  4/100 | Train Loss: 0.307545 | Val Loss: 0.115828 | LR: 9.84e-05
Epoch  5/100 | Train Loss: 0.297554 | Val Loss: 0.105526 | LR: 9.76e-05
Epoch  6/100 | Train Loss: 0.291244 | Val Loss: 0.101623 | LR: 9.65e-05
Epoch  7/100 | Train Loss: 0.283127 | Val Loss: 0.115145 | LR: 9.53e-05
Epoch  8/100 | Train Loss: 0.276570 | Val Loss: 0.096845 | LR: 9.39e-05
Epoch  9/100 | Train Loss: 0.270709 | Val Loss: 0.101530 | LR: 9.23e-05
Epoch 10/100 | Train Loss: 0.268013 | Val Loss: 0.108473 | LR: 9.05e-05
Epoch 11/100 | Train Loss: 0.265367 | Val Loss: 0.093831 | LR: 8.86e-05
Epoch 12/100 | Train Loss: 0.264789 | Val Loss: 0.108190 | LR: 8.66e-05
Epoch 13/100 | Train Loss: 0.259189 | Val Loss: 0.091228 | LR: 8.44e-05
Epoch 14/100 | Train Loss: 0.256201 | Val Loss: 0.091979 | LR: 8.21e-05
Epoch 15/100 | Train Loss: 0.256080 | Val Loss: 0.102960 | LR: 7.96e-05
Epoch 16/100 | Train Loss: 0.253082 | Val Loss: 0.092634 | LR: 7.70e-05
Epoch 17/100 | Train Loss: 0.251057 | Val Loss: 0.090341 | LR: 7.43e-05
Epoch 18/100 | Train Loss: 0.251976 | Val Loss: 0.088585 | LR: 7.16e-05
Epoch 19/100 | Train Loss: 0.249746 | Val Loss: 0.084318 | LR: 6.87e-05
Epoch 20/100 | Train Loss: 0.247326 | Val Loss: 0.086959 | LR: 6.58e-05
Epoch 21/100 | Train Loss: 0.243944 | Val Loss: 0.088900 | LR: 6.28e-05
Epoch 22/100 | Train Loss: 0.245353 | Val Loss: 0.094845 | LR: 5.98e-05
Epoch 23/100 | Train Loss: 0.242779 | Val Loss: 0.086601 | LR: 5.67e-05
Epoch 24/100 | Train Loss: 0.240443 | Val Loss: 0.095046 | LR: 5.36e-05
Epoch 25/100 | Train Loss: 0.240251 | Val Loss: 0.080591 | LR: 5.05e-05
Epoch 26/100 | Train Loss: 0.240838 | Val Loss: 0.083437 | LR: 4.74e-05
Epoch 27/100 | Train Loss: 0.239473 | Val Loss: 0.128713 | LR: 4.43e-05
Epoch 28/100 | Train Loss: 0.239633 | Val Loss: 0.084569 | LR: 4.12e-05
Epoch 29/100 | Train Loss: 0.236987 | Val Loss: 0.088333 | LR: 3.82e-05
Epoch 30/100 | Train Loss: 0.237304 | Val Loss: 0.088546 | LR: 3.52e-05
Epoch 31/100 | Train Loss: 0.237797 | Val Loss: 0.091698 | LR: 3.23e-05
Epoch 32/100 | Train Loss: 0.236790 | Val Loss: 0.096506 | LR: 2.94e-05
Epoch 33/100 | Train Loss: 0.236509 | Val Loss: 0.084988 | LR: 2.67e-05
Epoch 34/100 | Train Loss: 0.234859 | Val Loss: 0.082187 | LR: 2.40e-05
Epoch 35/100 | Train Loss: 0.236387 | Val Loss: 0.085926 | LR: 2.14e-05
Epoch 36/100 | Train Loss: 0.235179 | Val Loss: 0.084308 | LR: 1.89e-05
Epoch 37/100 | Train Loss: 0.234565 | Val Loss: 0.086262 | LR: 1.66e-05
Epoch 38/100 | Train Loss: 0.234298 | Val Loss: 0.083229 | LR: 1.44e-05
Epoch 39/100 | Train Loss: 0.234104 | Val Loss: 0.085564 | LR: 1.24e-05

Final Results:
  Best Validation Loss: 0.080591 (Epoch 25)
  Test Loss: 0.073688
