Expert 0 Optimized Training - 2026-03-23 20:40:06
Architecture: 17→128→64→6 (dropout=0.05)
Batch size: 64 (smaller = more updates)
Initial LR: 5e-5 (cosine annealing T_max=150)
Optimizer: Adam (betas=0.9,0.9999, weight_decay=1e-6)
Max epochs: 150, Early stop patience: 20
Training samples: 265,715
====================================================================================================

Epoch  1/150 | Train Loss: 0.588635 | Val Loss: 0.154876 | LR: 5.00e-05
Epoch  2/150 | Train Loss: 0.181421 | Val Loss: 0.104891 | LR: 5.00e-05
Epoch  3/150 | Train Loss: 0.146557 | Val Loss: 0.088934 | LR: 5.00e-05
Epoch  4/150 | Train Loss: 0.131914 | Val Loss: 0.080013 | LR: 4.99e-05
Epoch  5/150 | Train Loss: 0.123123 | Val Loss: 0.075337 | LR: 4.99e-05
Epoch  6/150 | Train Loss: 0.117835 | Val Loss: 0.072515 | LR: 4.98e-05
Epoch  7/150 | Train Loss: 0.113767 | Val Loss: 0.070123 | LR: 4.97e-05
Epoch  8/150 | Train Loss: 0.110199 | Val Loss: 0.069246 | LR: 4.97e-05
Epoch  9/150 | Train Loss: 0.107634 | Val Loss: 0.067291 | LR: 4.96e-05
Epoch 10/150 | Train Loss: 0.105729 | Val Loss: 0.066140 | LR: 4.95e-05
Epoch 11/150 | Train Loss: 0.103986 | Val Loss: 0.065330 | LR: 4.93e-05
Epoch 12/150 | Train Loss: 0.101685 | Val Loss: 0.064220 | LR: 4.92e-05
Epoch 13/150 | Train Loss: 0.100318 | Val Loss: 0.063691 | LR: 4.91e-05
Epoch 14/150 | Train Loss: 0.098952 | Val Loss: 0.062418 | LR: 4.89e-05
Epoch 15/150 | Train Loss: 0.098125 | Val Loss: 0.062007 | LR: 4.88e-05
Epoch 16/150 | Train Loss: 0.097803 | Val Loss: 0.061767 | LR: 4.86e-05
Epoch 17/150 | Train Loss: 0.096036 | Val Loss: 0.060782 | LR: 4.84e-05
Epoch 18/150 | Train Loss: 0.095186 | Val Loss: 0.060417 | LR: 4.82e-05
Epoch 19/150 | Train Loss: 0.094207 | Val Loss: 0.059923 | LR: 4.81e-05
Epoch 20/150 | Train Loss: 0.092986 | Val Loss: 0.059518 | LR: 4.78e-05
Epoch 21/150 | Train Loss: 0.092720 | Val Loss: 0.058638 | LR: 4.76e-05
Epoch 22/150 | Train Loss: 0.092026 | Val Loss: 0.058542 | LR: 4.74e-05
Epoch 23/150 | Train Loss: 0.091765 | Val Loss: 0.057827 | LR: 4.72e-05
Epoch 24/150 | Train Loss: 0.090334 | Val Loss: 0.057693 | LR: 4.69e-05
Epoch 25/150 | Train Loss: 0.089977 | Val Loss: 0.057112 | LR: 4.67e-05
Epoch 26/150 | Train Loss: 0.089320 | Val Loss: 0.056898 | LR: 4.64e-05
Epoch 27/150 | Train Loss: 0.088880 | Val Loss: 0.057007 | LR: 4.61e-05
Epoch 28/150 | Train Loss: 0.088840 | Val Loss: 0.056293 | LR: 4.58e-05
Epoch 29/150 | Train Loss: 0.088223 | Val Loss: 0.056940 | LR: 4.55e-05
Epoch 30/150 | Train Loss: 0.088255 | Val Loss: 0.056148 | LR: 4.52e-05
Epoch 31/150 | Train Loss: 0.087227 | Val Loss: 0.055519 | LR: 4.49e-05
Epoch 32/150 | Train Loss: 0.087224 | Val Loss: 0.055641 | LR: 4.46e-05
Epoch 33/150 | Train Loss: 0.086619 | Val Loss: 0.055052 | LR: 4.43e-05
Epoch 34/150 | Train Loss: 0.085976 | Val Loss: 0.054764 | LR: 4.39e-05
Epoch 35/150 | Train Loss: 0.085931 | Val Loss: 0.054470 | LR: 4.36e-05
Epoch 36/150 | Train Loss: 0.085792 | Val Loss: 0.054687 | LR: 4.32e-05
Epoch 37/150 | Train Loss: 0.085286 | Val Loss: 0.054255 | LR: 4.29e-05
Epoch 38/150 | Train Loss: 0.084973 | Val Loss: 0.054170 | LR: 4.25e-05
Epoch 39/150 | Train Loss: 0.084544 | Val Loss: 0.053758 | LR: 4.21e-05
Epoch 40/150 | Train Loss: 0.084664 | Val Loss: 0.054925 | LR: 4.17e-05
Epoch 41/150 | Train Loss: 0.083906 | Val Loss: 0.053936 | LR: 4.14e-05
Epoch 42/150 | Train Loss: 0.083900 | Val Loss: 0.053266 | LR: 4.10e-05
Epoch 43/150 | Train Loss: 0.083946 | Val Loss: 0.053446 | LR: 4.05e-05
Epoch 44/150 | Train Loss: 0.083459 | Val Loss: 0.053166 | LR: 4.01e-05
Epoch 45/150 | Train Loss: 0.083291 | Val Loss: 0.052935 | LR: 3.97e-05
Epoch 46/150 | Train Loss: 0.082933 | Val Loss: 0.053136 | LR: 3.93e-05
Epoch 47/150 | Train Loss: 0.083013 | Val Loss: 0.053568 | LR: 3.89e-05
Epoch 48/150 | Train Loss: 0.082704 | Val Loss: 0.052632 | LR: 3.84e-05
Epoch 49/150 | Train Loss: 0.082715 | Val Loss: 0.052903 | LR: 3.80e-05
Epoch 50/150 | Train Loss: 0.082269 | Val Loss: 0.052667 | LR: 3.75e-05
Epoch 51/150 | Train Loss: 0.081947 | Val Loss: 0.052545 | LR: 3.71e-05
Epoch 52/150 | Train Loss: 0.082522 | Val Loss: 0.052340 | LR: 3.66e-05
Epoch 53/150 | Train Loss: 0.082216 | Val Loss: 0.052343 | LR: 3.61e-05
Epoch 54/150 | Train Loss: 0.082033 | Val Loss: 0.052180 | LR: 3.57e-05
Epoch 55/150 | Train Loss: 0.081652 | Val Loss: 0.051902 | LR: 3.52e-05
Epoch 56/150 | Train Loss: 0.081409 | Val Loss: 0.052058 | LR: 3.47e-05
Epoch 57/150 | Train Loss: 0.081347 | Val Loss: 0.051830 | LR: 3.42e-05
Epoch 58/150 | Train Loss: 0.081362 | Val Loss: 0.051799 | LR: 3.37e-05
Epoch 59/150 | Train Loss: 0.081299 | Val Loss: 0.051832 | LR: 3.33e-05
Epoch 60/150 | Train Loss: 0.081146 | Val Loss: 0.051594 | LR: 3.28e-05
Epoch 61/150 | Train Loss: 0.080972 | Val Loss: 0.051640 | LR: 3.23e-05
Epoch 62/150 | Train Loss: 0.081559 | Val Loss: 0.051337 | LR: 3.18e-05
Epoch 63/150 | Train Loss: 0.080957 | Val Loss: 0.051372 | LR: 3.13e-05
Epoch 64/150 | Train Loss: 0.080853 | Val Loss: 0.051263 | LR: 3.07e-05
Epoch 65/150 | Train Loss: 0.080666 | Val Loss: 0.051174 | LR: 3.02e-05
Epoch 66/150 | Train Loss: 0.080605 | Val Loss: 0.051061 | LR: 2.97e-05
Epoch 67/150 | Train Loss: 0.080207 | Val Loss: 0.051473 | LR: 2.92e-05
Epoch 68/150 | Train Loss: 0.080473 | Val Loss: 0.051480 | LR: 2.87e-05
Epoch 69/150 | Train Loss: 0.080411 | Val Loss: 0.050997 | LR: 2.82e-05
Epoch 70/150 | Train Loss: 0.080105 | Val Loss: 0.051002 | LR: 2.77e-05
Epoch 71/150 | Train Loss: 0.080302 | Val Loss: 0.051316 | LR: 2.71e-05
Epoch 72/150 | Train Loss: 0.079994 | Val Loss: 0.050879 | LR: 2.66e-05
Epoch 73/150 | Train Loss: 0.079717 | Val Loss: 0.050611 | LR: 2.61e-05
Epoch 74/150 | Train Loss: 0.079992 | Val Loss: 0.050719 | LR: 2.56e-05
Epoch 75/150 | Train Loss: 0.080067 | Val Loss: 0.050979 | LR: 2.50e-05
Epoch 76/150 | Train Loss: 0.079656 | Val Loss: 0.050634 | LR: 2.45e-05
Epoch 77/150 | Train Loss: 0.079968 | Val Loss: 0.050501 | LR: 2.40e-05
Epoch 78/150 | Train Loss: 0.079816 | Val Loss: 0.050647 | LR: 2.35e-05
Epoch 79/150 | Train Loss: 0.079600 | Val Loss: 0.050504 | LR: 2.30e-05
Epoch 80/150 | Train Loss: 0.079162 | Val Loss: 0.050660 | LR: 2.24e-05
Epoch 81/150 | Train Loss: 0.079122 | Val Loss: 0.050433 | LR: 2.19e-05
Epoch 82/150 | Train Loss: 0.079634 | Val Loss: 0.050539 | LR: 2.14e-05
Epoch 83/150 | Train Loss: 0.079390 | Val Loss: 0.050086 | LR: 2.09e-05
Epoch 84/150 | Train Loss: 0.079498 | Val Loss: 0.050171 | LR: 2.04e-05
Epoch 85/150 | Train Loss: 0.078985 | Val Loss: 0.050309 | LR: 1.99e-05
Epoch 86/150 | Train Loss: 0.079047 | Val Loss: 0.050073 | LR: 1.94e-05
Epoch 87/150 | Train Loss: 0.079035 | Val Loss: 0.050299 | LR: 1.88e-05
Epoch 88/150 | Train Loss: 0.078485 | Val Loss: 0.050160 | LR: 1.83e-05
Epoch 89/150 | Train Loss: 0.079041 | Val Loss: 0.049889 | LR: 1.78e-05
Epoch 90/150 | Train Loss: 0.078921 | Val Loss: 0.050236 | LR: 1.73e-05
Epoch 91/150 | Train Loss: 0.078657 | Val Loss: 0.050196 | LR: 1.68e-05
Epoch 92/150 | Train Loss: 0.078924 | Val Loss: 0.050146 | LR: 1.64e-05
Epoch 93/150 | Train Loss: 0.078701 | Val Loss: 0.049969 | LR: 1.59e-05
Epoch 94/150 | Train Loss: 0.078546 | Val Loss: 0.049961 | LR: 1.54e-05
Epoch 95/150 | Train Loss: 0.078830 | Val Loss: 0.049796 | LR: 1.49e-05
Epoch 96/150 | Train Loss: 0.078565 | Val Loss: 0.049815 | LR: 1.44e-05
Epoch 97/150 | Train Loss: 0.078811 | Val Loss: 0.049888 | LR: 1.40e-05
Epoch 98/150 | Train Loss: 0.078407 | Val Loss: 0.049941 | LR: 1.35e-05
Epoch 99/150 | Train Loss: 0.078542 | Val Loss: 0.049882 | LR: 1.30e-05
Epoch 100/150 | Train Loss: 0.078515 | Val Loss: 0.049675 | LR: 1.26e-05
Epoch 101/150 | Train Loss: 0.079031 | Val Loss: 0.049662 | LR: 1.21e-05
Epoch 102/150 | Train Loss: 0.078642 | Val Loss: 0.049730 | LR: 1.17e-05
Epoch 103/150 | Train Loss: 0.078777 | Val Loss: 0.049628 | LR: 1.12e-05
Epoch 104/150 | Train Loss: 0.078395 | Val Loss: 0.049808 | LR: 1.08e-05
Epoch 105/150 | Train Loss: 0.078383 | Val Loss: 0.049766 | LR: 1.04e-05
Epoch 106/150 | Train Loss: 0.078356 | Val Loss: 0.049644 | LR: 9.97e-06
Epoch 107/150 | Train Loss: 0.078395 | Val Loss: 0.049692 | LR: 9.55e-06
Epoch 108/150 | Train Loss: 0.078559 | Val Loss: 0.049661 | LR: 9.15e-06
Epoch 109/150 | Train Loss: 0.078179 | Val Loss: 0.049818 | LR: 8.75e-06
Epoch 110/150 | Train Loss: 0.078002 | Val Loss: 0.049693 | LR: 8.36e-06
Epoch 111/150 | Train Loss: 0.078693 | Val Loss: 0.049565 | LR: 7.97e-06
Epoch 112/150 | Train Loss: 0.078338 | Val Loss: 0.049597 | LR: 7.59e-06
Epoch 113/150 | Train Loss: 0.078119 | Val Loss: 0.049618 | LR: 7.22e-06
Epoch 114/150 | Train Loss: 0.078117 | Val Loss: 0.049550 | LR: 6.86e-06
Epoch 115/150 | Train Loss: 0.078237 | Val Loss: 0.049486 | LR: 6.51e-06
Epoch 116/150 | Train Loss: 0.078113 | Val Loss: 0.049490 | LR: 6.16e-06
Epoch 117/150 | Train Loss: 0.078060 | Val Loss: 0.049575 | LR: 5.83e-06
Epoch 118/150 | Train Loss: 0.078380 | Val Loss: 0.049511 | LR: 5.50e-06
Epoch 119/150 | Train Loss: 0.078413 | Val Loss: 0.049401 | LR: 5.18e-06
Epoch 120/150 | Train Loss: 0.078123 | Val Loss: 0.049496 | LR: 4.87e-06
Epoch 121/150 | Train Loss: 0.077989 | Val Loss: 0.049447 | LR: 4.56e-06
Epoch 122/150 | Train Loss: 0.077888 | Val Loss: 0.049480 | LR: 4.27e-06
Epoch 123/150 | Train Loss: 0.077969 | Val Loss: 0.049512 | LR: 3.98e-06
Epoch 124/150 | Train Loss: 0.078130 | Val Loss: 0.049411 | LR: 3.71e-06
Epoch 125/150 | Train Loss: 0.078805 | Val Loss: 0.049405 | LR: 3.44e-06
Epoch 126/150 | Train Loss: 0.077925 | Val Loss: 0.049440 | LR: 3.19e-06
Epoch 127/150 | Train Loss: 0.078140 | Val Loss: 0.049405 | LR: 2.94e-06
Epoch 128/150 | Train Loss: 0.077977 | Val Loss: 0.049405 | LR: 2.70e-06
Epoch 129/150 | Train Loss: 0.077839 | Val Loss: 0.049432 | LR: 2.47e-06
Epoch 130/150 | Train Loss: 0.078312 | Val Loss: 0.049437 | LR: 2.26e-06
Epoch 131/150 | Train Loss: 0.077836 | Val Loss: 0.049451 | LR: 2.05e-06
Epoch 132/150 | Train Loss: 0.078221 | Val Loss: 0.049393 | LR: 1.85e-06
Epoch 133/150 | Train Loss: 0.077997 | Val Loss: 0.049353 | LR: 1.66e-06
Epoch 134/150 | Train Loss: 0.078216 | Val Loss: 0.049350 | LR: 1.49e-06
Epoch 135/150 | Train Loss: 0.078858 | Val Loss: 0.049303 | LR: 1.32e-06
Epoch 136/150 | Train Loss: 0.078242 | Val Loss: 0.049314 | LR: 1.16e-06
Epoch 137/150 | Train Loss: 0.077965 | Val Loss: 0.049321 | LR: 1.02e-06
Epoch 138/150 | Train Loss: 0.077670 | Val Loss: 0.049380 | LR: 8.84e-07
Epoch 139/150 | Train Loss: 0.077941 | Val Loss: 0.049362 | LR: 7.59e-07
Epoch 140/150 | Train Loss: 0.077770 | Val Loss: 0.049348 | LR: 6.45e-07
Epoch 141/150 | Train Loss: 0.077889 | Val Loss: 0.049357 | LR: 5.42e-07
Epoch 142/150 | Train Loss: 0.078344 | Val Loss: 0.049350 | LR: 4.49e-07
Epoch 143/150 | Train Loss: 0.078033 | Val Loss: 0.049353 | LR: 3.68e-07
Epoch 144/150 | Train Loss: 0.077659 | Val Loss: 0.049354 | LR: 2.97e-07
Epoch 145/150 | Train Loss: 0.078213 | Val Loss: 0.049356 | LR: 2.37e-07
Epoch 146/150 | Train Loss: 0.077844 | Val Loss: 0.049342 | LR: 1.88e-07
Epoch 147/150 | Train Loss: 0.077638 | Val Loss: 0.049339 | LR: 1.49e-07
Epoch 148/150 | Train Loss: 0.077732 | Val Loss: 0.049342 | LR: 1.22e-07
Epoch 149/150 | Train Loss: 0.077943 | Val Loss: 0.049349 | LR: 1.05e-07
Epoch 150/150 | Train Loss: 0.078318 | Val Loss: 0.049343 | LR: 1.00e-07

Final Results:
  Best Validation Loss: 0.049303 (Epoch 135)
  Test Loss: 0.044651
