Expert 0 Training - 2026-03-23 21:18:13
Architecture: 17→128→64→6 (enhanced)
Optimizer: Adam (lr=5e-05, weight_decay=1e-06)
Max epochs: 150, Early stop patience: 20
Training samples (Cluster 0): 265,715
====================================================================================================

Epoch  1/150 | Train Loss: 0.559020 | Val Loss: 0.148975
Epoch  2/150 | Train Loss: 0.171997 | Val Loss: 0.100461
Epoch  3/150 | Train Loss: 0.141492 | Val Loss: 0.086223
Epoch  4/150 | Train Loss: 0.128326 | Val Loss: 0.079080
Epoch  5/150 | Train Loss: 0.120957 | Val Loss: 0.075011
Epoch  6/150 | Train Loss: 0.115624 | Val Loss: 0.072355
Epoch  7/150 | Train Loss: 0.111530 | Val Loss: 0.069832
Epoch  8/150 | Train Loss: 0.109018 | Val Loss: 0.068885
Epoch  9/150 | Train Loss: 0.106046 | Val Loss: 0.066891
Epoch 10/150 | Train Loss: 0.104109 | Val Loss: 0.065831
Epoch 11/150 | Train Loss: 0.102790 | Val Loss: 0.064611
Epoch 12/150 | Train Loss: 0.100712 | Val Loss: 0.064216
Epoch 13/150 | Train Loss: 0.099294 | Val Loss: 0.062964
Epoch 14/150 | Train Loss: 0.098121 | Val Loss: 0.062882
Epoch 15/150 | Train Loss: 0.097127 | Val Loss: 0.061567
Epoch 16/150 | Train Loss: 0.095875 | Val Loss: 0.061158
Epoch 17/150 | Train Loss: 0.094998 | Val Loss: 0.060491
Epoch 18/150 | Train Loss: 0.093695 | Val Loss: 0.059900
Epoch 19/150 | Train Loss: 0.092841 | Val Loss: 0.059545
Epoch 20/150 | Train Loss: 0.092195 | Val Loss: 0.058964
Epoch 21/150 | Train Loss: 0.091492 | Val Loss: 0.058557
Epoch 22/150 | Train Loss: 0.090729 | Val Loss: 0.058338
Epoch 23/150 | Train Loss: 0.089991 | Val Loss: 0.058298
Epoch 24/150 | Train Loss: 0.089425 | Val Loss: 0.057947
Epoch 25/150 | Train Loss: 0.088959 | Val Loss: 0.057043
Epoch 26/150 | Train Loss: 0.088778 | Val Loss: 0.057248
Epoch 27/150 | Train Loss: 0.088370 | Val Loss: 0.056708
Epoch 28/150 | Train Loss: 0.087937 | Val Loss: 0.056051
Epoch 29/150 | Train Loss: 0.087378 | Val Loss: 0.056229
Epoch 30/150 | Train Loss: 0.087057 | Val Loss: 0.056035
Epoch 31/150 | Train Loss: 0.086507 | Val Loss: 0.055687
